Designator,Mid X,Mid Y,Rotation,Layer
C1,104.902,-56.388,180.0,bottom
C10,117.602,-55.372,270.0,bottom
C11,157.099,-114.808,0.0,top
C12,145.542,-119.888,270.0,top
C13,142.24,-136.398,180.0,top
C14,147.066,-60.452,0.0,bottom
C15,146.05,-54.864,0.0,bottom
C16,138.938,-64.008,0.0,bottom
C17,143.002,-57.658,270.0,bottom
C18,121.92,-68.58,270.0,bottom
C19,129.794,-56.388,180.0,bottom
C2,100.584,-45.974,90.0,bottom
C20,129.794,-58.42,180.0,bottom
C21,113.03,-114.046,0.0,top
C22,120.65,-84.582,0.0,top
C23,133.604,-103.886,0.0,top
C24,136.144,-82.296,0.0,top
C25,159.004,-59.944,90.0,top
C26,139.7,-66.802,90.0,bottom
C27,123.444,-55.88,180.0,bottom
C28,157.988,-67.564,180.0,bottom
C29,114.808,-45.974,90.0,bottom
C3,102.616,-45.974,90.0,bottom
C30,107.442,-42.672,180.0,bottom
C31,103.378,-94.361,180.0,top
C32,152.019,-122.428,270.0,bottom
C4,106.934,-63.5,0.0,bottom
C5,106.934,-54.356,0.0,bottom
C6,145.415,-114.046,270.0,top
C7,117.856,-135.382,0.0,top
C8,106.172,-49.53,270.0,bottom
C9,116.586,-65.024,0.0,bottom
D1,137.668,-40.894,180.0,top
D10,149.352,-37.846,90.0,top
D11,103.251,-84.709,0.0,bottom
D12,103.251,-86.995,0.0,bottom
D13,142.494,-37.846,180.0,top
D2,101.092,-129.794,90.0,top
D3,115.57,-129.794,90.0,top
D4,145.542,-130.048,90.0,top
D5,145.796,-109.474,90.0,top
D6,137.668,-38.862,180.0,top
D7,131.826,-61.214,180.0,bottom
D8,146.812,-37.846,90.0,top
D9,151.892,-37.846,90.0,top
DL1,113.03,-59.944,0.0,top
DL2,130.81,-59.944,0.0,top
DL3,148.59,-59.944,0.0,top
J1,162.306,-59.944,270.0,bottom
J2,140.97,-46.519,270.0,bottom
J3,157.734,-48.218,0.0,bottom
L1,138.43,-59.182,270.0,bottom
LS1,121.412,-42.164,0.0,top
Q1,143.51,-61.468,270.0,bottom
Q2,111.76,-45.974,0.0,bottom
R1,101.346,-56.388,180.0,bottom
R10,147.066,-62.484,0.0,bottom
R11,144.526,-42.418,270.0,top
R12,147.066,-58.42,0.0,bottom
R13,129.54,-64.77,270.0,bottom
R14,131.572,-64.77,90.0,bottom
R15,133.604,-64.77,270.0,bottom
R16,143.51,-64.516,180.0,bottom
R17,148.59,-42.418,270.0,top
R18,124.46,-47.752,270.0,bottom
R19,126.492,-47.752,90.0,bottom
R2,104.648,-45.974,270.0,bottom
R20,125.73,-44.958,0.0,bottom
R21,125.73,-38.354,180.0,bottom
R22,152.654,-42.418,270.0,top
R23,150.622,-42.418,270.0,top
R24,108.712,-45.974,270.0,bottom
R25,106.68,-45.974,270.0,bottom
R26,160.528,-132.08,0.0,top
R27,160.528,-121.92,0.0,top
R28,160.528,-111.76,0.0,top
R29,160.528,-101.6,0.0,top
R3,107.696,-60.706,90.0,bottom
R30,160.528,-91.44,0.0,top
R31,160.528,-80.01,0.0,top
R32,114.046,-43.18,0.0,bottom
R33,104.013,-96.774,0.0,bottom
R34,104.013,-98.679,0.0,bottom
R35,146.558,-42.418,270.0,top
R36,158.623,-94.234,180.0,bottom
R37,129.413,-74.295,180.0,bottom
R4,107.696,-57.15,270.0,bottom
R5,145.542,-123.444,90.0,top
R6,140.97,-42.418,270.0,top
R7,161.544,-61.722,270.0,top
R8,161.544,-58.166,90.0,top
R9,147.066,-64.516,180.0,bottom
SW1,107.95,-77.724,0.0,top
SW10,107.95,-109.474,0.0,top
SW11,123.19,-99.314,0.0,top
SW12,123.19,-109.474,0.0,top
SW13,138.43,-99.314,0.0,top
SW14,138.43,-109.474,0.0,top
SW15,153.67,-99.314,0.0,top
SW16,153.67,-109.474,0.0,top
SW17,107.95,-119.634,0.0,top
SW18,107.95,-129.794,0.0,top
SW19,123.19,-119.634,0.0,top
SW2,123.19,-77.724,0.0,top
SW20,123.19,-129.794,0.0,top
SW21,138.43,-119.634,0.0,top
SW22,138.43,-129.794,0.0,top
SW23,153.67,-119.634,0.0,top
SW24,153.67,-129.794,0.0,top
SW25,111.252,-38.226,180.0,bottom
SW26,100.584,-49.784,90.0,top
SW3,138.43,-77.724,0.0,top
SW4,153.67,-77.724,0.0,top
SW5,107.95,-89.154,0.0,top
SW6,123.19,-89.154,0.0,top
SW7,138.43,-89.154,0.0,top
SW8,153.67,-89.154,0.0,top
SW9,107.95,-99.314,0.0,top
U1,138.43,-128.524,270.0,bottom
U10,123.19,-62.23,270.0,bottom
U11,154.94,-113.284,270.0,bottom
U12,152.654,-62.992,270.0,bottom
U13,152.654,-56.896,90.0,bottom
U14,133.35,-57.404,270.0,bottom
U15,132.08,-39.624,0.0,top
U16,109.982,-45.212,90.0,top
U17,115.57,-128.524,180.0,bottom
U18,157.353,-125.349,0.0,bottom
U2,140.97,-75.184,180.0,bottom
U3,115.57,-80.264,270.0,bottom
U4,140.97,-95.504,180.0,bottom
U5,115.57,-105.664,270.0,bottom
U6,102.362,-51.562,0.0,bottom
U7,112.522,-59.182,0.0,bottom
U8,138.43,-113.284,0.0,bottom
U9,103.378,-91.948,0.0,bottom
Y1,102.362,-64.262,90.0,bottom
