Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C17, C18, C19, C21, C22, C23, C24, C25, C26, C28, C30, C31, C6, C7, C8, C9",0805,22,100n,
"C15, C16, C20",0805,3,22u,
C2,0805,1,10n,
C27,CP_EIA-7343-15_Kemet-W,1,68u,
C29,0805,1,1u,
C3,0805,1,220n,
"C4, C5",0805,2,22p,
D1,0805,1,HALT,
D10,0805,1,MEDIUM,
"D11, D12, D2, D3, D4, D5",D_MiniMELF,6,1N4148,
D13,0805,1,HEARTBEAT,
D6,0805,1,CHRG,
D7,2010,1,SS34,
D8,0805,1,POWER,
D9,0805,1,HIGH,
"DL1, DL2, DL3",DL1414,3,~,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
J2,PinSocket_2x10_P2.54mm_Horizontal,1,Conn_02x10_Odd_Even,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
L1,L_Sunlord_SWPA6040S,1,220u,
LS1,Buzzer_Murata_PKLCS1212E,1,Speaker_Crystal,
Q1,SOT-23,1,IRLML6402,
Q2,SOT-23,1,BC847,
"R1, R25, R26, R27, R28, R29, R30, R31, R5",0805,9,10K,
"R10, R9",0805,2,220R,
"R11, R15, R17, R24, R4, R6",0805,6,1K,
R12,0805,1,2K7,
"R13, R22, R35",0805,3,470R,
R14,0805,1,6K8,
"R16, R2, R3",0805,3,1M,
R18,0805,1,68K,
R19,0805,1,47K,
R20,0805,1,220K,
"R21, R32",0805,2,100K,
R23,0805,1,680R,
"R33, R34",0805,2,4K7,
"R7, R8",0805,2,5K1,
SW1,SW_SPST_PTS645,1,F1,
SW10,SW_SPST_PTS645,1,4,
SW11,SW_SPST_PTS645,1,9,
SW12,SW_SPST_PTS645,1,5,
SW13,SW_SPST_PTS645,1,A,
SW14,SW_SPST_PTS645,1,6,
SW15,SW_SPST_PTS645,1,B,
SW16,SW_SPST_PTS645,1,7,
SW17,SW_SPST_PTS645,1,0,
SW18,SW_SPST_PTS645,1,INC,
SW19,SW_SPST_PTS645,1,1,
SW2,SW_SPST_PTS645,1,F2,
SW20,SW_SPST_PTS645,1,DEC,
SW21,SW_SPST_PTS645,1,2,
SW22,SW_SPST_PTS645,1,SEL,
SW23,SW_SPST_PTS645,1,3,
SW24,SW_SPST_PTS645,1,GO!,
SW25,SW_CK_JS202011AQN_DPDT_Angled,1,SW_Push_DPDT,
SW26,SW_SPST_PTS645,1,RESET,
SW3,SW_SPST_PTS645,1,F3,
SW4,SW_SPST_PTS645,1,F4,
SW5,SW_SPST_PTS645,1,C,
SW6,SW_SPST_PTS645,1,D,
SW7,SW_SPST_PTS645,1,E,
SW8,SW_SPST_PTS645,1,F,
SW9,SW_SPST_PTS645,1,8,
U1,PLCC-44,1,Z80CPU,
U10,SO-14_3.9x8.65mm_P1.27mm,1,74HC00,
U11,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC138,
U12,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U13,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U14,TSOT-23-5,1,SX1308,
U15,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U16,SO-14_3.9x8.65mm_P1.27mm,1,74HC74,
U17,PLCC-32_11.4x14.0mm_P1.27mm,1,28C256,
U2,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HC244,
U3,PLCC-44,1,Z80 PIO,
U4,PLCC-44,1,Z80 SIO3,
U5,PLCC-44,1,Z80 CTC,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555D,
U7,SO-14_3.9x8.65mm_P1.27mm,1,74HC04,
U8,TSOP-I-28_11.8x8mm_P0.55mm,1,62256,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,24C512,
Y1,Crystal_SMD_HC49-SD,1,3.6864M,
